observation_id,edgeiq_observed_at,race_date,canonical_meeting_id,canonical_meeting_key,canonical_race_id,canonical_race_key,canonical_runner_id,canonical_runner_key,runner_number,horse_name,provider_runner_id,fixed_win,fixed_place,race_status,is_scratched,payload_hash
d60f06af814df7bdb561e894,2026-07-26T02:02:00Z,2026-07-26,2026-07-26|SALE,2026-07-26|SALE,2026-07-26|SALE|R2,2026-07-26|SALE|R2,15712720,2026-07-26|SALE|R2|SAATCHI,14,Saatchi,63619cf5-5b6a-470d-8236-d22701a6e02c,8.00,2.20,Open,false,d60f06af814df7bdb561e894a7ef35aab90a0f5b5578efdb9ebcaf20d4068acb
3c5762474f9f04c8fb9eb1a2,2026-07-26T02:08:04Z,2026-07-26,2026-07-26|SALE,2026-07-26|SALE,2026-07-26|SALE|R2,2026-07-26|SALE|R2,15712720,2026-07-26|SALE|R2|SAATCHI,14,Saatchi,63619cf5-5b6a-470d-8236-d22701a6e02c,7.50,2.10,Open,false,3c5762474f9f04c8fb9eb1a2ef76ec742075c968237c624cbe43f3db6f29c1a1
1a4a6abb35f1cea6edb8d27f,2026-07-26T02:02:05Z,2026-07-28,2026-07-28|SWANHILL,2026-07-28|SWANHILL,2026-07-28|SWAN HILL|R5,2026-07-28|SWAN HILL|R5,15713635,2026-07-28|SWAN HILL|R5|VERIFIER,7,Verifier,246e1f9a-e3d4-4f21-b443-b8160ae100c1,3.50,1.60,Open,false,1a4a6abb35f1cea6edb8d27f654fae79e93b87618736c4a4b3781c5de87fbedf
c69a11819158beb78410f2f2,2026-07-26T02:08:33Z,2026-07-28,2026-07-28|SWANHILL,2026-07-28|SWANHILL,2026-07-28|SWAN HILL|R5,2026-07-28|SWAN HILL|R5,15713635,2026-07-28|SWAN HILL|R5|VERIFIER,7,Verifier,246e1f9a-e3d4-4f21-b443-b8160ae100c1,3.50,1.60,Open,false,c69a11819158beb78410f2f2f29694b4281cc139059852eec264bbd2588d708e
d4ee04497177125a4048e249,2026-07-26T02:02:01Z,2026-07-26,2026-07-26|SALE,2026-07-26|SALE,2026-07-26|SALE|R7,2026-07-26|SALE|R7,15713638,2026-07-26|SALE|R7|YAMATOSATONA,3,Yamato Satona,8564d92f-eebe-471b-9ca2-f25c3f3a6e4c,4.60,1.75,Open,false,d4ee04497177125a4048e249687e1b125a1762b7c291804cab56c28d84367d8a
3add261ee24e72a7d2fd307a,2026-07-26T02:08:09Z,2026-07-26,2026-07-26|SALE,2026-07-26|SALE,2026-07-26|SALE|R7,2026-07-26|SALE|R7,15713638,2026-07-26|SALE|R7|YAMATOSATONA,3,Yamato Satona,8564d92f-eebe-471b-9ca2-f25c3f3a6e4c,4.60,1.75,Open,false,3add261ee24e72a7d2fd307a93a279dd5ee7d360d917f6110369bc5a73cfa0eb
c97151377cacef587701f112,2026-07-26T02:02:01Z,2026-07-26,2026-07-26|SALE,2026-07-26|SALE,2026-07-26|SALE|R3,2026-07-26|SALE|R3,15713659,2026-07-26|SALE|R3|NOVAMIRA,12,Novamira,599c5a05-006b-4b5c-a8ae-77ee25980c4e,,,Open,true,c97151377cacef587701f112d994380cc4ec3551a2e99f97327f1a5090a8e5dc
0cfd8ad13fc3723135b9d072,2026-07-26T02:08:05Z,2026-07-26,2026-07-26|SALE,2026-07-26|SALE,2026-07-26|SALE|R3,2026-07-26|SALE|R3,15713659,2026-07-26|SALE|R3|NOVAMIRA,12,Novamira,599c5a05-006b-4b5c-a8ae-77ee25980c4e,,,Open,true,0cfd8ad13fc3723135b9d0723de74e95efb25a650a6be45bd3b6c3238737c6f1
564794bf0cb8a2890ec90aed,2026-07-26T02:02:05Z,2026-07-28,2026-07-28|SWANHILL,2026-07-28|SWANHILL,2026-07-28|SWAN HILL|R2,2026-07-28|SWAN HILL|R2,15714049,2026-07-28|SWAN HILL|R2|MAGNUSMCLAREN,2,Magnus Mclaren,6655fa2f-4fb1-477e-b0b6-55e5d3fcefd2,35.00,5.00,Open,false,564794bf0cb8a2890ec90aed5b4d0c58784ce6dcf48d62969a02a475310692c8
476adc006a904f6d3cd1dfcb,2026-07-26T02:08:29Z,2026-07-28,2026-07-28|SWANHILL,2026-07-28|SWANHILL,2026-07-28|SWAN HILL|R2,2026-07-28|SWAN HILL|R2,15714049,2026-07-28|SWAN HILL|R2|MAGNUSMCLAREN,2,Magnus Mclaren,6655fa2f-4fb1-477e-b0b6-55e5d3fcefd2,35.00,5.00,Open,false,476adc006a904f6d3cd1dfcb11ff3fc8212ef4b80ebdbd568bfc349703402661
